Roll Num,Marks
102003542,1
102003640,1
102003725,1
102003307,1
102003458,1
102003643,1
102017134,1
102003207,1
102003315,1
102003362,1
102003135,1
102003650,1
102003675,1
102003671,1
102003374,1
102017034,1
102003306,1
102003141,1
102003592,1
102003478,1
102017030,0
102016114,1
102003152,1
102017101,1
102003098,1
102003633,1
102003132,1
102066004,1
102003466,1
102017188,1
102003413,1
102017030,1
102016094,1
102017190,1
102017121,1
102003118,1
102003681,1
102183051,1
102017016,1
102003649,1
102003448,1
102003421,1
102017152,1
102053044,1
102017152,1
102003169,1
102016049,1
102017081,1
102053017,1
102003299,1
102017096,1
102016049,1
102003161,1
102003109,1
102003313,1
102003138,1
102017078,1
102003445,1
102003553,1
102017186,1
102003675,1
102003527,1
102003407,1
102017100,1
102003674,1
102183047,1
102003160,1
102003049,1
102003701,1
102017159,1
102067010,1
102003112,1
102003522,1
102017067,1
102003069,0
102053019,1
102016060,1
102003553,1
102003384,1
102017169,1
102017043,1
102017133,1
102183052,1
102003732,1
102003562,1
102003235,1
102003290,1
102003746,1
102003694,1
102003586,1
102017121,1
102003710,1
102003640,1
102003439,1
102016116,1
102003127,1
102017084,1
102067004,1
102016011,1
102017005,0
102016099,1
102053036,1
102003441,1
102003118,1
102003106,1
102003129,1
102017067,1
102003346,1
102003647,1
102017186,1
102003274,0
102003090,1
102183044,1
102003711,1
102003624,1
102017100,1
102003656,0
102017029,1
102016082,1
102003238,1
102017159,1
102003002,1
102017134,1
102003614,1
102003459,1
102003099,1
102003760,1
102017036,1
102003312,1
102017143,1
102003458,1
102016102,1
102067009,1
102003586,1
102003505,1
102003206,1
102017096,1
102003409,1
102003738,1
102017040,1
102003274,1
102016049,1
102003440,1
102003688,1
102017036,1
102017122,1
102017064,1
102067007,1
102017043,0
102003041,1
102017147,1
102003356,1
102003166,1
102017074,1
102003707,1
102003228,1
102003366,1
102003165,1
102003423,1
102053018,1
102003725,1
102053032,1
102003631,1
102003553,1
102003475,1
102003663,1
102003716,1
102017025,1
102003333,1
102003090,0
102017191,1
102003364,1
102003101,1
102017132,1
102017059,1
102003362,1
102003405,1
102003702,1
102003257,1
102003312,1
102003472,1
102003112,1
102003113,1
102003138,1
102053028,1
102003628,1
102183056,1
102003451,1
102017064,1
102003578,1
102053013,0
102003334,1
102053012,1
102017024,1
102003463,1
102003671,1
102017045,1
102003228,1
102016102,1
102017189,1
102003482,1
102003178,1
102003355,1
102003482,1
102003674,1
102017054,1
102003106,1
102003393,1
102003658,1
102003116,1
102017195,1
102003162,1
102003697,1
102003256,1
102003001,1
102053044,1
102016081,1
102053017,1
102003137,1
102017148,1
102003405,1
102003487,1
102017139,1
102003029,1
102003432,1
102003090,1
102003177,1
102003505,1
102003646,1
102003619,1
102003171,1
102016087,1
102016062,1
102003432,1
102053022,1
102053024,1
102183044,1
102016062,1
102003499,1
102003367,1
102003109,1
102003333,1
102003318,0
102017180,1
102017104,1
102003447,1
102003205,1
102016082,1
102003127,1
102003631,1
102003425,1
102017075,1
102003441,1
102003166,1
102003716,1
102003165,1
102017050,1
102003083,1
102003656,1
102003578,1
102003562,1
102003220,1
102183034,1
102003760,1
102017064,1
102003346,0
102003018,1
102003323,1
102003162,1
102003706,1
102017034,1
102017010,1
102017081,1
102003760,0
102003759,1
102003184,1
102003447,1
102003661,1
102017034,1
102003694,1
102017043,1
102016012,1
102016089,1
102003039,1
102003448,1
102016096,1
102003315,1
102003457,1
102003633,1
102016083,1
102067007,1
102003140,1
102053042,1
102003017,1
102003707,1
102003644,1
102003290,1
102016068,1
102017040,1
102003633,1
102003732,1
102003138,1
102016087,1
102003042,1
102003306,1
102017008,1
102003166,1
102003116,1
102003304,1
102053007,1
102003707,1
102003692,1
102017034,1
102003140,1
102003101,1
102017126,1
102017069,1
102016087,1
102017186,1
102003707,1
102003169,1
102003125,1
102003767,1
102017171,1
102017167,0
102003767,1
102016081,1
102003466,1
102016044,1
102016068,1
102003673,1
102017054,1
102003431,1
102003445,1
102003549,1
102003018,1
102003101,1
102003459,1
102003431,1
102003759,1
102016075,1
102017008,1
102017083,1
102003497,1
102003494,1
102003742,1
102017113,1
102017190,1
102003105,1
102183034,1
102067010,1
102067007,1
102003037,1
102053024,1
102053042,1
102003484,1
102003002,1
102017010,1
102003655,1
102053028,1
102017036,1
102003661,1
102003368,1
102003056,1
102003493,1
102003243,1
102003745,1
102003307,1
102003312,1
102017180,1
102066004,1
102003157,1
102183038,1
102066004,1
102017167,1
102053030,1
102003424,1
102003173,1
102003631,1
102003039,1
102003464,1
102016096,1
102003542,1
102017025,1
102017112,1
102183038,1
102003701,1
102003099,1
102053051,1
102003689,1
102003675,1
102003403,1
102003505,1
102017134,1
102003648,0
102003623,1
102003622,1
102003497,1
102067006,1
102017113,1
102003687,1
102003628,1
102003512,1
102017078,1
102017017,1
102003030,1
102017169,1
102003071,1
102003458,1
102197018,1
102003138,1
102017121,1
102017169,1
102017145,1
102183040,1
102003220,1
102003586,1
102003618,1
102003184,1
102003618,1
102053009,0
102017059,1
102003355,1
102017045,1
102003710,1
102016062,1
102003665,1
102017191,1
102003164,1
102017121,0
102003640,1
102003409,0
102017043,1
102003439,1
102197018,1
102017070,1
102003374,0
102003649,1
102003002,1
102003522,1
102183035,1
102017142,1
102183056,1
102003665,1
102003648,1
102003673,1
102017171,1
102003711,1
102003618,1
102017167,0
102003124,1
102017184,1
102003658,1
102017078,1
102003049,1
102017187,1
102017029,1
102003457,1
102017090,1
102017083,1
102016109,1
102003493,1
102183050,1
102003366,1
102053043,1
102017070,1
102003313,1
102003431,1
102017137,0
102016083,1
102003452,1
102197018,0
102017159,1
102017069,1
102017101,1
102016034,1
102003184,1
102003427,1
102003604,1
102003156,1
102003384,1
102017142,1
102053009,1
102016114,1
102016105,1
102067009,1
102003421,1
102003125,1
102003169,1
102003109,1
102003680,1
102003393,1
102197019,1
102017089,1
102053036,1
102017051,1
102003356,1
102003445,1
102003355,1
102003655,1
102003614,1
102003131,1
102016090,1
102003113,1
102003487,1
102003334,1
102003703,1
102003099,1
102003685,1
102003452,1
102003655,1
102003315,1
102183048,1
102003152,1
102016011,1
102196004,1
102017100,1
102003582,1
102003306,1
102003541,1
102003131,1
102003364,1
102003646,1
102017010,1
102003634,1
102003423,1
102003483,1
102017145,1
102003083,1
102003703,1
102003560,1
102197021,1
102183034,1
102017186,1
102003164,1
102017074,1
102003704,1
102003663,1
102003070,1
102003475,1
102003152,0
102003403,1
102003675,1
102003619,1
102003648,1
102183047,1
102003736,1
102003742,1
102017016,1
102016044,1
102003466,1
102003467,1
102003373,1
102003738,1
102017008,1
102003018,1
102003661,1
102197018,1
102003037,1
102003069,1
102017050,1
102053032,1
102003648,1
102003551,1
102003404,1
102016094,1
102183035,1
102003718,1
102003711,1
102003069,1
102003029,1
102003116,1
102003384,0
102017054,1
102003158,1
102003624,1
102017079,1
102003644,1
102003644,1
102017126,1
102017054,1
102196010,1
102053031,1
102017024,1
102003098,1
102003177,1
102016094,1
102003628,1
102003423,1
102017118,1
102183047,1
102003131,1
102053012,1
102003439,1
102003772,1
102003322,1
102017089,0
102003432,1
102003702,1
102017085,1
102053042,1
102067011,1
102053010,1
102197016,1
102003711,1
102003711,1
102016011,1
102017188,1
102017075,0
102003665,1
102003671,1
102003109,1
102003124,1
102003656,1
102003099,1
102003242,0
102003056,1
102017122,1
102183040,1
102017112,1
102017121,1
102197021,1
102003499,1
102003138,1
102003459,1
102003070,1
102003532,1
102003253,1
102197019,1
102003485,1
